absoluteTime,trialTime,deltaTime,trialIndex,eventType,keyboardValue,xKeyHitLocal,yKeyHitLocal,candidate1,candidate2,candidate3,conditionType,currentText,targetText,eyeTrackingStatus,DesignMatrixCondition
61226.0146922,76.37051,0.0106707,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.0276479,76.38349,0.0129821,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.0521128,76.4076,0.0241062,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.0767197,76.43214,0.0245438,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.0912197,76.44709,0.0149487,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.1048294,76.4615,0.0144072,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.1188589,76.47517,0.0136632,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.1328279,76.48913,0.0139665,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.1490986,76.50602,0.016885,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.1626169,76.51957,0.0135522,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.1779125,76.5334,0.0138313,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.192602,76.54813,0.0147264,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.2095484,76.56468,0.0165565,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.2328985,76.58855,0.0238665,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.2514493,76.60491,0.0163629,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.2821256,76.63653,0.0316198,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.3121605,76.66391,0.02738,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.3340254,76.68881,0.0249017,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.355727,76.71021,0.0213915,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.3900634,76.74294,0.0327396,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.4301425,76.78241,0.0394632,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.4613658,76.81686,0.0344464,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.5012919,76.85239,0.0355429,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.5412977,76.89453,0.0421367,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,2
61226.5746517,76.92893,0.0343954,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.6125352,76.96288,0.0339525,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.6563502,77.01003,0.0471456,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.6763714,77.03218,0.0221562,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.7055234,77.06016,0.0279723,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.7396534,77.09296,0.0327997,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.7713491,77.12351,0.0305574,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.7955863,77.15049,0.0269809,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.817869,77.17287,0.0223797,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.8409469,77.19657,0.0236965,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.8598198,77.21399,0.0174216,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.8826785,77.23823,0.0242366,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.9013154,77.25565,0.0174176,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.929235,77.28202,0.0263743,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
61226.9509412,77.3065,0.0244742,4,,,-inf,-inf,,,,Sweyepe,W,When a city has arranged things like this you cannot easily change them,Available,0
